loading_fees,Calculating Fee…,计算费用…,,,
loading_home,Synchronizing…,同步中…,,,
send_payee,Payee,收款人,,,
send_to,To,至,,,
contacts_empty_tips,No Saved Address,未保存任何地址,,,
system_require_update,Update Required ,需要升级,,,
system_bulletin,Maintenance Bulletin,维护公告,,,
system_update_available,Update Available ,升级可用,,,
system_update_required_desc,"Update to at least version {{value}}  to continue use {{name}} , the current version may cause failures in transactions",请更新到至少版本{{value}} 以继续使用{{name}} ，当前版本可能会导致交易失败,,,
general_desc_update,Bug fixes and performance improvements,Bug修复和体验优化,,,
general_desc_title,What's New,更新内容,,,
me_share_title,Share Hoopay,分享Hoopay,,,
receive_specify_amount,Specify {{value}}  amount,指定{{value}} 金额,,,
create_advanced_testnet,"Testing network, for test only",测试专用网络,,,
more_confirm_passphrase,Confirm Your Password,确认助记词密码,,,
transaction_none,No Transactions,暂无交易,,,
send_add_contact,Add Contact,添加联系人,,,
common_password,Password,密码,,,
common_date,Date,日期,,,
common_next,Next,下一步,,,
common_done,Done,完成,,,
set_transpw_title,Payment Password,支付密码,,,
password_input,Input here,请输入,,,
tips_pw_set_success,Password set successfully,密码设置成功,,,
tips_pw_update_success,Password has been updated,密码修改成功,,,
add_contact_coins_select,Select,选择,,,
unlock_fingerprint,Tap to verify your fingerprint,点击验证指纹,,,
contact_modify_name,Modify Name, 修改名称,,,
contact_delete_alert,Are you sure you want to delete this contact?,确认要删除这个联系人吗？,,,
about_feedback_sent,Feedback Sent,反馈已提交,,,
tips_transaction_send,Transaction Sent,发送成功,,,
tips_transaction_failed,Transaction failed to send,发送失败,,,
address_saved,Address already saved before,地址已保存,,,
receive_add_address,Adding Address…,添加地址…,,,
shared_nickname,Your Nickname,昵称,,,
common_waiting,Waiting…,等待加入…,,,
common_reject,Reject,拒绝,,,
transactions_creator,Creator,创建人,,,
timeline_created,Created,创建,,,
common_accept,Accept,接受,,,
tstp_now,Just Now,刚刚,,,
tstp_minute,{{value}} minutes ago,{{value}}分钟前,,,
tstp_hour,{{value}} hours ago,{{value}}小时前,,,
tstp_day,{{value}} days ago,{{value}}天前,,,
proposal_deleting,Deleting…,删除中…,,,
login_start,Please confirm your country code and enter your phone number,请确认国家码并输入手机号,,,
login_phonenumb,Phone Number,手机号码,,,
login_signup,Sign Up/ Sign In,注册／登录,,,
login_verification,Verification,验证,,,
login_verification_sent,Verification code has been sent to:,验证码已发送至：,,,
login_enter_code,Enter code,输入验证码,,,
login_code_try_again,Try again in {{value}} ,{{value}} 后重试,,,
login_code_again,Try Again,重试,,,
tab_asset,Assets,资产,,,
total_asset,Total Assets,我的资产,,,
contact_add,Open Bank Account,开通币行账号,,,
add_account_tips,Scan a Bank’s QR code to open your bank account,扫描币行的二维码来开通币行账号,,,
account_bank_info,Bank Info,币行信息,,,
bank_info_admin,Admin,管理者,,,
bank_info_time,Founding Time,创建时间,,,
bank_info_funds,Bank’s Total Funds,币行总资产,,,
bank_info_client,Bank’s Total Clients,币行总客户数,,,
bank_info_fee,Fee,费用,,,
bank_delete_account,Delete Account,删除账号,,,
error_6,Can’t delete account that has balance leftover,无法删除有余额的账号,,,
delete_account_tips,Are you sure you want to delete account from {{value}}?,确认要删除{{value}}的账号吗？,,,
sts_to_liquidate,Waiting for Bank’s review,等待币行审核,,,
sts_liquidating,Reviewing,审核中,,,
fee_month,Month,月,,,
common_status,Status,状态,,,
transaction_cancel,Cancel Transaction,取消交易,,,
sts_confirmed,Confirmed,已确认,,,
transaction_cancel_tips,Are you sure you don’t want to send this transaction?,您确认不想发送此交易吗？,,,
detail_pay_account,Payment Bank,支付币行,,,
receive_accoun,Current Account,当前帐号,,,
send_phone_number,Enter Phone Number,输入手机号,,,
invalid_number,Invalid Phone Number,无效的手机号,,,
multi_account_choose,"This contact has several accounts, choose the one you want to send to",该联系人有多个帐户，请选择您想发送至的账户,,,
common_recents,Recents,最近,,,
contact_access_desc,Fingo needs to access your Contacts so you can send coins directly to your friends,Fingo需要您的通讯录权限，以便您直接给朋友发送资金,,,
allow_access,Allow Access,允许权限,,,
contact_detail,Contact Detail,联系人详情,,,
save_contact,Save Contact,保存联系人,,,
timestmp_today,Today,今天,,,
timestmp_yesterday,Yesterday,昨天,,,
sent_from,Payment Bank,付款币行,,,
settings_security,Security Settings,安全设置,,,
payment_password,Payment Password,支付密码,,,
photo_display,Your photo and name will be displayed to your contacts,您的头像和名称会展示给您的联系人,,,
settings_profile,Profile Photo,头像,,,
settings_personal,Personal Info,个人信息,,,
profile_take_photo,Take Photo,拍照,,,
profile_choose_album,Choose from Album,从相册选择,,,
camera_access_none,Fingo does not have access to your Camera,Fingo没有相机权限,,,
